latitude,longitude,coarse_NO2,traffic_index,population_density,industrial_index,target_NO2
12.88,77.51,24.7,0.42,8400,0.12,20.94
12.91,77.58,28.1,0.57,11200,0.18,24.73
12.95,77.62,31.4,0.66,12800,0.23,27.73
13.01,77.49,22.9,0.39,7600,0.09,19.39
13.05,77.55,29.8,0.61,11900,0.21,26.17
13.08,77.68,35.2,0.74,15100,0.31,31.10
12.86,77.72,26.5,0.48,9800,0.15,22.75
12.99,77.44,21.6,0.34,6900,0.07,18.15
13.12,77.59,33.7,0.71,14300,0.28,29.66
12.93,77.66,27.9,0.53,10500,0.17,24.01
13.15,77.74,36.1,0.79,16200,0.34,32.26
12.84,77.47,23.5,0.37,7200,0.08,19.67
13.03,77.63,30.6,0.64,13400,0.24,27.11
12.97,77.53,25.8,0.46,9300,0.13,22.13
13.10,77.70,34.5,0.76,15500,0.30,30.80
12.90,77.60,29.1,0.59,11600,0.20,25.56
13.06,77.48,24.2,0.41,8100,0.10,20.52
12.89,77.69,32.4,0.69,13900,0.26,28.67
13.14,77.56,27.1,0.52,10100,0.16,23.41
12.96,77.76,37.3,0.82,17100,0.36,33.38
